departamento,variable,valor,fecha_corte
nacional,tasa_formalidad,10415.646119,2025-05-01
nacional,tasa_informalidad,13219.455199,2025-05-01
nacional,tasa_formalidad,9627.343959,2025-05-01
nacional,tasa_informalidad,9153.685015,2025-05-01
nacional,tasa_formalidad,788.30216,2025-05-01
nacional,tasa_informalidad,4065.770184,2025-05-01
